round,e1_r2,e1_rmse_db,e3_r2,e3_rmse_db,e5_r2,e5_rmse_db
1,-21.3405,89.18,-18.6943,83.73,-20.1083,86.68
5,-18.1889,82.65,-2.7716,36.64,-2.1823,33.66
10,-11.785,67.46,0.3476,15.24,0.4448,14.06
15,-4.9531,46.03,0.5267,12.98,0.568,12.4
20,-0.6926,24.55,0.6109,11.77,0.6914,10.48
25,0.1178,17.72,0.6757,10.74,0.738,9.66
30,0.4151,14.43,0.726,9.88,0.7844,8.76
35,0.5575,12.55,0.7652,9.14,0.8252,7.89
40,0.6221,11.6,0.7957,8.53,0.8511,7.28
45,0.6644,10.93,0.8192,8.02,0.8691,6.83
50,0.7032,10.28,0.837,7.62,0.8807,6.52
